publishedAt,authorDisplayName,textDisplay,likeCount
2025-05-15T15:04:49Z,@fajarhamdani1134,Sangat betul...,0
2025-05-13T21:18:46Z,@SuponoPono-n5g,Ternak MULYONO manaaa ngertiiii......biangnya aja gak jelaaaass....izajahnyaaaa....,0
2025-05-13T21:18:23Z,@SuponoPono-n5g,Ternak MULYONO manaaa ngertiiii......biangnya aja gak jelaaaass....izajahnyaaaa....,0
2025-05-13T21:12:52Z,@SuponoPono-n5g,Ternak MULYONO manaaa ngertiiii......biangnya aja gak jelaaaass....izajahnyaaaa....,0
2025-05-13T21:11:00Z,@SuponoPono-n5g,Ternak MULYONO manaaa ngertiiii......biangnya aja gak jelaaaass....izajahnyaaaa....,0
2025-05-13T15:41:27Z,@BadariahAhmad-b7t,Kerja sawit di msia sudah middle upper class bro,0
2025-05-13T09:29:59Z,@mibaa7578,Seorang yg begitu bijak.. tahniah org muda.❤,0
2025-05-13T06:34:59Z,@RobiRahmathidayat01,Parah 😂,0
2025-05-12T06:12:21Z,@YaLi-v5q8j,Ajari di rumah home school online masih bisa print and knowledge from home and sejeninsnya,0
2025-05-12T05:49:37Z,@mohdkamal549,Tiada negara yang mampu menjamin rakyatnya kaya raya dan hidup senang lenang semuanya kerna itu ketentuan ilahi,0
2025-05-10T13:57:23Z,@duoraa6589,Kita bersyukur hidup di indonesia<br>Di bandingkan dengan negara lain,0
2025-05-09T08:02:16Z,@cempakaandalus8747,Indonesia memang tidak baik baik saja bukti angka perceraian begitu tinggi di tiap daerah dan alasan nya karena EKONOMI naudzubillahimindzalik,0
2025-05-07T11:41:48Z,@bomohcacing,Sedihhh😮,0
2025-05-07T11:20:50Z,@EdyEdy-m3y,"Pak presiden harus sungguh sungguh  bertindak tegas kepada pejabat pajabat koruptor pengusaha pengusah tidak jujur,hukum seberat beratnya pejabat koruptor",0
2025-05-07T05:34:04Z,@melliyanamarselina5806,"Aku nnton video mu bg, langsung kebuka mata dan pikiranku thank you buat ilmu yg mahal ini ...",0
2025-05-06T00:22:36Z,@subbek9747,"Emang iya gua jg tukang parkir biasa aja<br>Buktinya, yg beli kendaraan naik, beras surplus",0
2025-05-05T20:06:12Z,@firehorse6815,"Being financially literate is a must. The mindset of a worker is different from the mindset of an entrepreneur, different from the mindset of a businessman, different from the mindset of an investor. Understanding all of these thoughts is very necessary. How to understand the flow of cash flow, how to distinguish between good and bad expenses. How to know the market&#39;s desires, how to sell and buy a business, how to turn expenses into income, that&#39;s what needs to be considered and understood. Read and study Robert.T.Kiyosaki&#39;s books.",0
2025-05-05T19:49:56Z,@firehorse6815,1.000.000 IDR become 1 IDR.,0
2025-05-05T10:23:28Z,@fransbudiman386,🙄🤗 kita ga baik2 saja dari 97,0
2025-05-05T01:02:45Z,@HMp-j4j,Bisanya pesimistis,0
2025-05-04T14:09:47Z,@ibraahim-z6r,No<br>N,0
2025-05-04T07:50:56Z,@takiudin4063,Komen sih penting coba buka lapak dengan tenaga kerja 10 orang aja baru hebat,0
2025-05-04T05:46:54Z,@MohdSamsul-z4d,Koko ri mana?. Koko ri otak lu letak kat mana?. Ni tengok konten orang cerdas.,0
2025-05-03T12:04:24Z,@aseppower3752,"pemerintah kita ini denial,ga mau mengakui apa yg terjadi sebenarnya.terus menutup nutupi kebobrokannya.",0
2025-05-03T10:45:23Z,@suparnomartosurip8895,Yg kaya hanya kel<br> Mulyono,0
2025-05-03T10:42:16Z,@suparnomartosurip8895,Rakyat  semakin tetjajah. ..,0
2025-05-03T10:41:14Z,@suparnomartosurip8895,Rakyat sakin gelap.  Pjbatnya tetang benderang karena makan pajak rakyat,0
2025-05-02T08:51:44Z,@fithriamuslimah3560,"indonesia sedang tidak baik baik saja dimana kualitas pendidikan tidak mendukung untuk survive<br>•anak tk dilarang calistung, tidak boleh menghukum jika melakukan kesalahan<br>•ketika masuk ke jenjang SD, hinggakelas 4 SD masih banyak yg tidak bisa membaca, hingga karakternya buruk<br>•gajih guru honor yg sedikit, membuat banyak orang pintar, males untuk memberi ilmunya, akhirnya hanya orang yg berhati iklas yg mau mengajar ala kadarnya<br>•kemungkinan untuk gen alfa bertahan dgn kerasnya dunia hanya 2, warisan bisnis/warisan keluarga/tanah luas untuk bercocok tanam dn berkebun",0
2025-05-01T15:29:46Z,@SUHARISUHARI-f7z,Pencerahan yang sangat baik,0
2025-05-01T11:03:34Z,@yuuyuu6973,👍🏽👍🏽👍🏽,0
2025-04-30T09:23:00Z,@asmakusuma8552,Udah bang dari pada ngomng terus ngajukan aja diri jadi presiden  jadi anda siap menjadi pengeabmg indonesia,0
2025-04-30T08:38:22Z,@mengurnalumbantobing881,Sekarang saja sudah semakin menurun beli masyarakat.,0
2025-04-29T19:06:53Z,@InfoJustice,"Kondisi banyak phk dimana,, pemerintah sibuk menaikkan pajak diberbagai sektor. Untuk memakmurkan 7jt pns/pensiun dengan mengorbankan ratusan juta juga rakyat biasa dan pengusaha.<br>Padahal gaji bumn sendiri puluhan/ratusan/ribuan UMR kalau selau 2²rugi ya wajar saja",0
2025-04-29T17:27:33Z,@ManggalangSimanjuntak,Apa ini pengaruh dari hamas??,0
2025-04-29T00:37:39Z,@Septyan3699,Gw sebagai GEN Z percaya diri sama pendaftaraan kerja<br>Gw mau banget kerja asalkan<br>1)Percaya diri<br>2)Bilang &quot;GW BISA&quot;?kalo mau bekerja dengan baik<br>3)Utamakan DOA &amp; SHOLAT,0
2025-04-28T19:16:25Z,@udinaja5394,"imbas prestasi jokowi,prestasi pencitraan utang dan pestapora pejabat meroket",0
2025-04-28T18:44:05Z,@FahrezaElBaraq,"Kita butuh Gerakan Revolusi , Orde yang hancur ini perlu di ganti yang lebih baru.",0
2025-04-28T13:16:17Z,@amelianurmala3391,😢,0
2025-04-28T08:18:53Z,@unc.rowned2375,"Kk bnyak bnget ahli2 dan pengamat , tapi cma statement dan ngoceh aja gk mau berbuat apa apa .",0
2025-04-28T05:20:02Z,@armanazhar8615,"Semua ini adalah warisan Jokowi. KPK dgn sengaja di lemahkan ,koropsi terjadi diseluruh sektor, impor dgn sengaja unk memperkaya , hasil tambang di rampok dgn mafia. PHK sudah terjadi sebelum Covid disebabkan kejahatan rezim . Utang negara tdk berdampak pertumbuhan ekonomi dan dan dana pinjaman juga banyak di koropsi. Regulasi berubah robah yg membuat investor kabur.",0
2025-04-27T23:02:57Z,@hansdejong8400,Terimakasih bang. Sudah membantu membuka pikiran SDM konoha😢😊.,0
2025-04-27T16:14:59Z,@aulianurinsani5135,kalau semua pejabat di atas turun kebawah .bertanya pd rakyat .pasti jasBanya sama .ekonomi sulit,0
2025-04-27T04:00:29Z,@ainurropik6232,"Betul bang, masyarakat seperti di kampung, terasa kesakitan, kami merasakan kebutuhan naik, tp pendapatan untuk keluwarga berkurang, tp kami tetap ber optimis, kami bisa melewati semua ini, semangat  para kaum petani n perternak, seluruh Nusantara, ❤ILove NKRI",0
2025-04-26T16:18:33Z,@Gembel-n6x,Katanya adenya pak Prabowo punya pabrik uang dan pabrik emas batangan...ko kenapa Indonesian masih krisis.. moneter dan ekonomi terus menerus ya..ada yg salah atau...,0
2025-04-26T15:08:26Z,@zmznhj3454,"Akan tiba nanti suatu zaman kekacauan, dimana agama sudah tidak dipercaya,, politik sudah tidak berkuasa,, dan uang sudah tidak memiliki nilai, dan hukum sudah tidak punya kekuatan,,<br> Dan disertai dengan kemarau global diseluruh dunia, <br>Hingga harga segelas air dengan sebutir berlian, lebih berharga segelas air,,",0
2025-04-26T07:13:18Z,@notanydoll,RAKYAT DI DESA2 ITU BANYAK YG MENGANGGUR.<br>PENGHASILAN GAK ADA.<br>DAN GAK ADA YG MENOLONG LAGI.,0
2025-04-26T05:44:41Z,@TheRain-id7if,"Saya paham apa yang kamu maksudkan, cuma di Indonesia kebanyakan iQ nya rendah, kurang kesadaran pada diri sendiri dan keadaan di negeri ini, akibatnya, kedepan bisa berdampak negatif kepada masyarakat menengah ke bawah, saat masyarakat mulai kritik, cara politik PM memulai taktik yaitu, sengaja di buat sibuk agar masyarakat saling tidak peduli dengan lainnya (mudah di propaganda) hal demikian agar urusan para koruptor berjalan lancar.",0
2025-04-26T03:40:10Z,@juwitasitumorang88,Ya Tuhan….hati nurani dan nasionalisme mereka masih ada gak ya?,0
2025-04-25T12:44:26Z,@YusriadiAlex,"Indonesia supaya tidak sakit,tolong dicari solusinya agar sehat",0
2025-04-25T10:07:54Z,@RAMNata-s4q,"Fakta,keren bg,siapa pemimpin,siapa yg dipimpin,di negara bisa saja berubah<br>Think&#39;s<br>Positif <br>Negative <br>Sifat manusia <br>Dan perbuatan nya <br>Hancurr<br>WAKTU BERLALU DENGAN CEPAT",0
2025-04-25T10:08:57Z,@RAMNata-s4q,Di dunia kejar lah taqwa pada tuhan yang maha esa <br>Agar hidup kita bahagia<br>Amiiiinnn❤❤❤❤,0
2025-04-25T05:30:04Z,@IkhwaAdam-c9y,Bener banget 👍,0
2025-04-24T16:19:41Z,@Rajaimamsyahputrasinaga-ht3ju,Mksi ray,0
2025-04-24T13:51:00Z,@tuanzmuda,"ijin komen, Bro Raymond.<br>dulu gua sempet benci banget karena elo &#39;menghina&#39; mengkritik dengan kurang sopan (menurut gua) terhadap pemerintah. tapi, setelah gua melihat kembali keadaan negara yang seperti sekarang ini, makin kesini makin yakin kalo kebijakan yang dibuat sama pemerintah juga bakal ada impact langsung ke masyarakat. contoh aja gw sekarang punya agen brilink, sekarang admin bank juga pada naik, ga mungkin juga kalo ga dinaikin. untungnya juga ga bakal seberapa 😢😢, mana belakangan ini gw rasa transaksi makin hari makin sepi. makasih banyak bro Raymond udah ikut menyadarkan gua,<br>.<br>.<br>please forgive me that i ever make a mistake to u🙏🔥",0
2025-04-24T11:21:51Z,@Video.1.4,&quot;Kalo boleh usulan tolong bahas buruknya kurikulum indonesia&quot; 🙏,1
2025-04-24T11:14:44Z,@paulinaribeiro-p6i,Suka menhina negara lain tutup mata melihat negaranya sendiri,0
2025-04-24T10:14:48Z,@nikensulistyowati581,Se7 bgt,0
2025-04-24T08:26:21Z,@Abjas-57,"Cerdas!!! Benar apa yg di omongin sdra RChin nie... <br>Tapi apakah tindaklanjut n kesedaran utk beranjak seterusnya?..<br>Diambil fikir n analisis pon belum tentu, maka tindakan n proaktif apalagi!!..<br>Bebar  rakyat n pemimpin perlu disafatkan akan isu2 ini sblum terlambat??<br>Video anda ini lebih ramai diminati n tonton serta dihayati oleh warga jiran Mlysia..<br>Moga RC terus beredukasi..<br>Tidak speti Mr.cindo kokori yg suka <a href=""http://www.youtube.com/results?search_query=%23nyinyir"">#nyinyir</a> tanpa membantu.",0
2025-04-23T15:13:10Z,@foodystoriesdiy,Ini semua karena awal pemerintahan Jokowi dan sekarang Prabowo malah rakyat yg sudah miskin malah tambah miskin justru orang yg kaya makin melimpah harta kekayaan,0
2025-04-23T09:12:13Z,@matabiru3496,Semua harga makin naik tapi kan gaji pejabat juga pasti naik bro.. jadi gak perlulah khawatir broo..,0
2025-04-23T03:15:52Z,@Yatmiquotes,"Sebentar nya ini semua kesalahan pemimpin sebelumnya yang gampang di bodoh2in sama koruptor, rakyat nggak pada nyadar, sekarang baru terasa. imbasnya",0
2025-04-22T17:41:38Z,@waluyohermawan2619,Jelas tdk baik baik saja <br>Bahkan tdk hanya Indonesia <br>Negara lain pun juga sama<br>Skrng para elit global atau siapa pun ibart telah membuka kotak pandora<br>Dengan robotik atau ai <br>Ketika bnyk pekerjaan manusia skrng di lakukan oleh ai<br>Maka tdk ada org yg punya uang utk blnja <br>Krn tdk ada org kerja <br>Semurah apapun produksi suatu barang <br>Tetapi tdk ada org punya uang utk membeli produk nya maka hal itu juga jd boomerang kecuali sedikit org kaya raya<br>Dan akan terjadi ledakan angka kriminalitas di setiap negara <br>Lalu di mna brang akan di produksi<br>Lalu ke mna hasil produksi akan di psarkan,0
2025-04-22T06:10:21Z,@BadariahAhmad-b7t,Aku hairan Indonesia bawa artis menjadi menteri.apa yg dia tahu ngurus kewangan atau ekonomi.atau hanya mencari popular diri.80;tahun merdeka.masih eksport rakyat kerja luar.malu lah wrhai pemimpin,0
2025-04-22T06:04:10Z,@BadariahAhmad-b7t,Apakah kalian pemimpin tidak ada rasa malu diri kepada pemimpin negara jiran. ??.apakah kalian tidak tahu menteri negara jiran memandang rendah terhadap kalian ??. Ataukah kalian merasa bangga menjadi seorang menteri di negara Indonesia. Kasihan lah kepada rakyat kalian merempat kemana saja didunia menjadi kuli. Babu di negara yg kalian pandang rendah??.sadar lah diri kalian.berjuanglah sesungguh hati kamu Bina negara,0
2025-04-21T17:30:29Z,@BcankBcank500,Betul... Mata smua ternyata tertutup... <br>Dan hanyaaa bisa terdiam... Karena kita....,0
2025-04-21T10:18:03Z,@alampratama2499,Mulyono... Mulyono...,0
2025-04-20T21:15:03Z,@EsterKatilik,Yg paling buruk dampak resesi   terjadi di kota. Besar<br>Aku org desa cuma terima aja,0
2025-04-20T13:51:26Z,@KONOHA_78_You-sv9qo,Indonesia negara besar.Udah join BRICS dan juga G20 gimana bilng Indonesia tidak baik baik saja.Hoax.Indonesia lebih maju dari jiran yg ngak punya kereta api Woosh.NKTI harga mati  😅😂💪,0
2025-04-20T12:01:42Z,@EdyYuwono-b7h,"Pemimpin, pejabat, menteri dari buzzerp tidak profesional hidup foya foya membuat banyak PHK pengangguran meningkat drastis, biaya hidup makin tinggi, rakyat tidak punya uang untuk kebutuhan hidup. Indonesia gelap gelap gulita.",0
2025-04-20T08:41:50Z,@PakKuwat-ll1eh,Ayo warga masyarakat smuanya sementara kitagakusah bayarpajak setelah ekonomi sudah membaik marikitalanjukan lagi byr pajak,0
2025-04-20T07:01:28Z,@ayyubichanel5974,Memang susah bang untuk saat ini . Banyak anak muda kurang peduli dengan kondisi negara ketika kita kritik kondisi negara malah di bilang barisan sakit hati lah anak abah lah .. Semoga sehat selalu untuk kita semua,0
2025-04-20T04:08:07Z,@ftr1826,# selamatkan Indonesia #,0
2025-04-20T00:16:59Z,@DarwisMbo-kv3tc,PKH BLT bukan solusinya,0
2025-04-20T00:16:35Z,@DarwisMbo-kv3tc,Islam kaffah dlm bingkai khilafah solusinya,0
2025-04-19T22:58:47Z,@nurali1712,"Hebat anak ini mengingatkan, bravo temannya ustadz Felix Siauw",0
2025-04-19T10:39:41Z,@TomGlory91,"Apa itu RESESI (ekonomi)?<br>📚 Pengertian:<br>Resesi ekonomi adalah kondisi saat perekonomian suatu negara mengalami kontraksi (penurunan) selama dua kuartal berturut-turut atau lebih.<br><br>📉 Tandanya:<br>Pertumbuhan ekonomi negatif (PDB menurun)<br>PHK meningkat<br>Konsumsi dan produksi menurun<br>Investasi lesu<br>Bisa disebabkan oleh krisis global, pandemi, konflik, dll.<br><br>JIKA Tanda-tanda diatas Sudah JELAS terlihat di INDONESIA, maka Indonesia sedang menuju Cemas atau Bubar, sesuai kata Presidennya.",0
2025-04-18T15:22:17Z,@theblues6889,"Salah satu Akar permasalahan negara ini adalah KORUPSI, kalau masyarakat indoensia mau adanya perubahan untuk negara tercinta ini, sama sama harus beranikan diri untuk berteriak dan tuntuk ke DPR untuk sah kan UU peramapasan aset, jangan demo yang tidak ada manfaatnya, sayang seribu kali sayang",0
2025-04-18T09:39:27Z,@evyyulia4473,Indonesia baik-baik saja kok dan aku yakin Indonesia menjadi negara maju,0
2025-04-18T04:49:49Z,@ramadhanyasin-km4kh,"Terimakasih kasih pak Raymond berkat video edukasi anda yang bermanfaat bagi saya ini, saya lebih banyak belajar dari wawasan yang belum aku mengerti dan jalani, tapi setelah anda menyajikan video edukasi yg hasilnya positif bagi saya, itu membangun tekad di hati saya untuk bisa menghasilkan hasil yang positif, saya lulusan sd pak, tapi insyaallah tekad saya tak akan pernah pudar insyaallah pak Raymond, sekali lagi terimakasih pak Raymond",0
